                                                                                                                             ,,,,,,,23/6/2026,,,,
                                                                      ,,,,SORSZ,,,,,,,
Os:,CLIENTE:,SERVIÇO:,STATUS,QTDE CARTUCHOS,FOLHAS,DATA DE ENTREGA,FACA,Cores,Previsto,,
2156,REALEZA EMBALAGENS,CAIXA DE AÇAI 10L,RESTANTE ,11.000,5.500,10/11,CAIXA 2468B / TAMPA 2469B / BOLSA 2470B,4X0,,,
2465,AÇAI SABOR E SAUDE,CAIXA AÇAI 10L BRASILEIRINHO, ,11.000,5.500,5/2,CAIXA - 2468B / TAMPA - 2469B,4X0,,,
2466,AÇAI SABOR E SAUDE,CAIXA AÇAI 10L COMBATE, ,8.800,4.400,5/2,CAIXA - 2468B / TAMPA - 2469B,4X0,,,
2420,CARTON WEGA,BOLSA DE SORVETE 10L,OK,8.000,8.000,30/12,2470B,0X0,,,
2440,CARTON WEGA,BOLSA SORVETE 10L ,OK,77.000,38.500,30/12,2505B - FACA NOVA,0X0,,,
2421,CARTON WEGA,BOLSA DE SORVETE 7L,OK,5.000,2.500,30/12,2478B,0X0,,,
2407,CARTON WEGA,BOLSA DE SORVETE 5L,OK,5.000,5.000,30/12,2467B,0X0,,,
,,,,VINCO MANUAL BABY,,,,,,,
Os:,CLIENTE:,SERVIÇO:, ,QTDE CARTUCHOS,FOLHAS,DATA DE ENTREGA,FACA,Cores,Previsto,,
2656,FUNED,PILOTO CARTUCHO P/LINHA AUT. Nº. EME 0186 DE ENVASE EM FRASCO DE 70ML,OK,500,500,25/3,181P - FACA PILOTO,0X0,,,
2655,FUNED,PILOTO CARTUCHO P/LINHA AUT. Nº. EME 0187 DE ENVASE EM FRASCO DE 100ML,OK,500,500,25/3,182P - FACA PILOTO,0X0,,,
2670,VAPZA,PILOTO CARTUCHO VAPZA 500 GRAMAS,OK,300,300,13/4,175P - FACA PILOTO,0X0,,,
,,,,VINCO MANUAL ,,,,,,,
Os:,CLIENTE:,SERVIÇO:, ,QTDE CARTUCHOS,FOLHAS,DATA DE ENTREGA,FACA,Cores,Previsto,,
2465,AÇAI SABOR E SAUDE,CAIXA AÇAI 10L BRASILEIRINHO,TAMPA,11.000,5.500,5/2,CAIXA - 2468B / TAMPA - 2469B,4X0,,,
2464,AÇAI SABOR E SAUDE,CAIXA AÇAI 10L CREMOSA,TAMPA,44.000,22.000,5/2,CAIXA - 2468B / TAMPA - 2469B,4X0,,,
2466,AÇAI SABOR E SAUDE,CAIXA AÇAI 10L COMBATE,TAMPA,8.800,4.400,5/2,CAIXA - 2468B / TAMPA - 2469B,4X0,,,
2465,AÇAI SABOR E SAUDE,CAIXA AÇAI 10L BRASILEIRINHO,Caixa  - OK,11.000,5.500,5/2,CAIXA - 2468B / TAMPA - 2469B,4X0,,,
2464,AÇAI SABOR E SAUDE,CAIXA AÇAI 10L CREMOSA,Caixa ,44.000,22.000,5/2,CAIXA - 2468B / TAMPA - 2469B,4X0,,,
2466,AÇAI SABOR E SAUDE,CAIXA AÇAI 10L COMBATE,Caixa ,8.800,4.400,5/2,CAIXA - 2468B / TAMPA - 2469B,4X0,,,
2661,PROBELLE,PILOTO CARTUCHO KIT SHAMPOO E CONDICIONADOR PROBELLE HIALURONICO ,OK / PROVA,100,25,13/4,2066B,0X0,,,
2271,HIDRATEI,CAIXA VERTICAL P,Vincou 16.000 fls total,107.000,53.500,10/11,2457B,1X0,,,
2073,HIDRATEI,CAIXA G HIDRATEI ,VINCOU 32.500 (RODAR OK / 6.000 FOLHAS,80.300,80.300,6/10,FACA NOVA - 2458B,1X0,18:34,,
,,,,,,,,,,,
2564,GERDAU RIOGRANDENSE,FITA PAPELÃO COURO 465 X 65 X 3mm NR40,,30.000,5.000,19/3,GUILHOTINA,0X0,,,
2627,CARTON WEGA,PASTA PADRÃO,OK,300,300,31/3,GUILHOTINA,4X1,,,
2099,CARTON WEGA,CAIXA PARA E-COMMERCE - DUBDOGZ - P,"OK / Micro Pardo 58,5 x 95 - Em estoque",550,275,23/10,2062B,1X0,00:26,,
,,, ,VINCO / HOT,,,,,,,
Os:,CLIENTE:,SERVIÇO:, ,QTDE CARTUCHOS,FOLHAS,DATA DE ENTREGA,FACA,Cores,Previsto,,
2561,ALFAPARF GROUP,PILOTO CARTUCHO COLOR EVOLUTION ,OK,2000,250,17/3,2514B - FACA NOVA,3X1,,,
2615,LA TOCINETA,CARTUCHO PARA BACON EM CUBOS 140G,OK,22.000,5.500,9/4,2524B - FACA NOVA,4X0,,,
2616,LA TOCINETA,CARTUCHO PARA BACON EM FATIAS 250G,OK,22.000,5.500,9/4,,4X0,,,
2622,SERRA NEGRA,CARTUCHO MANTEIGA AGUA NA BOCA COM SAL  E SEM SAL,OK,22.000,2.444,27/3,1640B,4X0,,,
2133,HIDRATEI,CAIXA GG HIDRATEI,Tampa / Caixa  - OK,25.850,12.925,27/10,2471B - PARTE 1 / 2472B - PARTE 2,1X0,40:56,,
2398,ESAB,CAIXA DE PAPELÃO P/ 5KG DE ELETRODO SERRALHEIRO CÓD 1000841,,55.000,18.333,2/2,2367B,2X0,,,
2477,PETALA BEAUTY,CAIXA E-COMMERCER PETALA BEAUTY P - NEW FAVORITES E GREAT TASTES M2369,RODOU 11.330 FOLHAS,44.000,22.000,16/3,2369B,2X0,,,
1974,HIDRATEI,CAIXA BELEZA BRASILEIRA - 102 X 90 X 86,OK - Restante 400 FOLHAS,11.000,3.667,18/8,2258B,4X0,,,
2096,BELEZA BRASILEIRA,CAIXA E-COMMERCE PP 102X90X86 M 2258B,Faltaram 2800 folhas de micro,38.500,12.833,27/10,2258B,3X0,05:04,,
,,,,,,,,,,,
,,,,,,,,,,,
2141,QUALITY IN TABACO,PROVA PILOTO NEWS CLASSIC AZUL BOX 83 - TRIPLEX 250G / TROPLEX 235G,OK - Corte/Vinco (PARCIAL),8.800,550,10/2,142P - COM RELEVO,4X0,06:00,,
 ,,, ,BOBST SP 102  S,,,,,,,
Os:,CLIENTE:,SERVIÇO:, ,QTDE CARTUCHOS,FOLHAS,DATA DE ENTREGA,FACA,Cores,Previsto,,
2665,PIF PAF,CARTUCHO PIZZA CALABRESA,,300.000,150.000,30/4,2405B - COM RELEVO / BRAILE,5X0,,,
2666,PIF PAF,CARTUCHO PIZZA PRESUNTO,,120.000,60.000,30/4,2405B - COM RELEVO / BRAILE,5X0,,,
2529,PROBELLE,CARTUCHO BURGUESINHA 2.0 - 50ML - (E02232) / 3.0 - 50ML - (E02233) / 5.0 - 50ML - (E02237),OK,462.000,77.000,3/3,2139B,5X1,,,
2538,PROBELLE,CARTUCHO BURGUESINHA 5.26 -50ML - (E01988) / 5.5 - 50ML - (E02238),OK,33.000,5.500,3/4,2139B,5X1,,,
2539,PROBELLE,CARTUCHO BURGUESINHA 1.6 - 50ML - (E01981) / 5.74  - 50ML - (E01988),OK,33.000,5.500,3/4,2139B,5X1,,,
2540,PROBELLE,CARTUCHO BURGUESINHA 6.1 - 50ML - (E01991) / 6.88 - 50ML - (E02240),OK,33.000,5.500,3/4,2139B,5X1,,,
2541,PROBELLE,CARTUCHO BURGESINHA 7.3 - 50ML - (E01992) / 7.37 - 50ML - (E02245),OK,33.000,5.500,3/4,2139B,5X1,,,
2542,PROBELLE,CARTUCHO BURGUESINHA 7.4 - 50ML - (E01993) / 6.4 - 50ML - (E01990),OK,33.000,5.500,3/4,2139B,5X1,,,
2672,VILMA ALIMENTOS,CAIXA DISPLAY REFRESCO HIBRIDO,,110.000,13.750,24/4,2394B ,4X0,,,
2669,MEDQUIMICA,CTH GASTROGEL DE BOLSO 10ML COM 60 - COD274363,OK,1.870,935,24/4,2519B ,7X0,,,
2651,MEDQUIMICA,CTH GRIPNEW COM 150 COD. 277757,OK,11.000,2.750,27/4,2530B - COM BRAILE ,6X0,,,
2654,MEDQUIMICA,CTH CLORIDRATO DE TETRACICLINA 500MG C/80 - COD 277428,OK,18.480,9.240,27/4,2531B - COM BRAILE,5X0,,,
2671,MEDQUIMICA,CTH GASTROGEL DE BOLSO COM 12 COD 282140,OK,9.240,2.310,24/4,2533B - COM BRAILLE - FACA NOVA,6X0,,,
2551,ALGODÃO APOLO,CAIXA DE MESA 100G APOLO C/FECHAM. AUTOM (1051951),OK,55.000,9.167,16/3,2222B - COM BRAILE,2X0,,,
2614,ALGODÃO APOLO,CAIXA DE MESA 100G APOLO C/FECHAM. AUTOM (1051951),OK,70.400,11.733,8/4,2222B - COM BRAILE,2X0,,,
2653,ALFAPARF GROUP,CART. COLMEIA SDL FRASCOS 250ML,OK,11.000,5.500,4/5,2000B,0X0,,,
2626,AMAZONIKA MUNDI,CART KAFTA - AMAZONIKA MUNDI,,6.600,3.300,20/4,2227B,4X0,,,
2623,AMAZONIKA MUNDI,CART BURGUER / CART FEIJUCA / CART QUINOA - AMAZONIKA MUNDI,OK,8.800,2.200,20/4,2423B,4X0,,,
2624,AMAZONIKA MUNDI,CART QUINOA BURGUER / CART FALAFEL / CART FALAFEL BURGUER / CART ALMÔNDEGA - AMAZONIKA MUNDI,OK,13.200,3.300,20/4,2423B,4X0,,,
2625,AMAZONIKA MUNDI,CART SIRIJU - AMAZONIKA MUNDI,OK,2.200,550,20/4,2423B,4X0,,,
2648,MARESP,CART. MANTEIGA MARESP 200 GR,,110.000,13.750,22/4,1456B,4X0,,,
2664,PIF PAF,CARTUCHO PIZZA FRANGO COM REQUEIJÃO,32.000,300.000,150.000,20/4,2405B - COM RELEVO / BRAILE,5X0,,,
,,,,,,,,,,,
,,,,,379.235,,,,,,
 ,,, ,BOBST SP 102  E,,,,,,,
Os:,CLIENTE:,SERVIÇO:, ,QTDE CARTUCHOS,FOLHAS,DATA DE ENTREGA,FACA,Cores,Previsto,,
2638,CERVEJARIA IMPERIO,CAIXA 18 GARRAFAS IMPERIO GOLD 210ML,OK ( VINCOU 90.000 FOLHAS),104.000,104.000,8/4,2401B,6X0,,,
2639,CERVEJARIA IMPERIO,CAIXA 18 GARRAFAS IMPERIO GOLD 210ML,,104.000,104.000,17/4,2401B,6X0,,,
2668,CAFÉ 3 CORAÇÕES,CAIXA CAPP CAFÉ IT 3C MULTISABOR 50X20G - 2004525,58.000,165.000,82.500,10/4,2430B,6X0,,,
,,,,,200.500,,,,,,
,,,,COLADEIRA BOBST 68,,,,,,,
Os:,CLIENTE:,SERVIÇO:, ,QTDE CARTUCHOS,FOLHAS,DATA DE ENTREGA,FACA,Cores,Previsto,,
2641,METALAB,CARTUCHO INOVITANN BIOTINA / CURCUMA / TRIMAGNESIO / CLORETO DE MAGNÉSIO,OK / Lateral,11.000,2.750,10/4,2450B,4X0,,,
2642,METALAB,CARTUCHO INOVITANN COENZIMA Q10 / B12 / VITAMINA K / PENSTAMAGNÉSIO,OK / Lateral,11.000,2.750,10/4,2450B,4X0,,,
2643,METALAB,CATUCHO MELTRAT XAROPE E INOVITANN MAGNÉSIO,OK / Lateral,22.000,5.500,10/4,2450B,4X0,,,
2644,METALAB,CARTUCHO INOVITANN LUTEINA E FLEX-A-MIM,OK / Lateral,6.600,1.650,10/4,2450B,4X0,,,
2645,METALAB,CARTUCHO MUCOLISIL 20MG,OK / Lateral,13.750,3.438,10/4,2450B,4X0,,,
2647,METALAB,CARTUCHO MUCOLISIL 40MG,OK / Lateral,27.500,6.875,10/4,2450B,4X0,,,
2615,LA TOCINETA,CARTUCHO PARA BACON EM CUBOS 140G,Lateral - Cola quente,22.000,5.500,9/4,2524B - FACA NOVA,4X0,,,
2616,LA TOCINETA,CARTUCHO PARA BACON EM FATIAS 250G,Lateral - Cola quente,22.000,5.500,9/4,,4X0,,,
2554,ALGODÃO APOLO,CAIXA ALGODÃO APOLO 25G,OK / Lateral,302.500,25.208,16/3,2503B - COM BRAILE ,2X0,,,
2619,ALGODÃO APOLO,CAIXA DE MESA 50G APOLO C/FECHAM. AUTOM (1051146),OK / Lateral,187.000,31.167,8/4,2318B - COM BRAILE,2X0,,,
2614,ALGODÃO APOLO,CAIXA DE MESA 100G APOLO C/FECHAM. AUTOM (1051951),Lateral,70.400,11.733,8/4,2222B - COM BRAILE,2X0,,,
2551,ALGODÃO APOLO,CAIXA DE MESA 100G APOLO C/FECHAM. AUTOM (1051951),Lateral,55.000,9.167,16/3,2222B - COM BRAILE,2X0,,,
,,,,750.750,,,,,,,
,,,,COLADEIRA AFT 70,,,,,,,
Os:,CLIENTE:,SERVIÇO:, ,QTDE CARTUCHOS,FOLHAS,DATA DE ENTREGA,FACA,Cores,Previsto,,
2664,PIF PAF,CARTUCHO PIZZA FRANGO COM REQUEIJÃO,Lateral,300.000,150.000,20/4,2405B - COM RELEVO / BRAILE,5X0,,,
2665,PIF PAF,CARTUCHO PIZZA CALABRESA,Lateral,300.000,150.000,30/4,2405B - COM RELEVO / BRAILE,5X0,,,
2666,PIF PAF,CARTUCHO PIZZA PRESUNTO,Lateral,120.000,60.000,30/4,2405B - COM RELEVO / BRAILE,5X0,,,
2613,BIOSENSE,CARTUCHO VENDA CASADA BLÁ BLÁ BLÁ KIDS CAMOMILA 600ML - CÓD 25411 / CARTUCHO VENDA CASADA KIT BLÁ BLÁ BLÁ KIDS EXTRATO DE FRUTAS 600ML - CÓD 25410,OK / Automatico,20.000,5.000,13/4,2309B,4X0,,,
2612,BIOSENSE,CARTUCHO VENDA CASADA BLÁ BLÁ BLÁ KIDS UVINHA BERÊ 600ML - CÓD 25407 / CARTUCHO VENDA CASADA BLÁ BLÁ BLÁ KIDS  CHEIRINHO DE NENÉM - CÓD 25409,OK / Automatico,20.000,5.000,13/4,2309B,4X0,,,
2672,VILMA ALIMENTOS,CAIXA DISPLAY REFRESCO HIBRIDO,Automatico,110.000,13.750,24/4,2394B ,4X0,,,
2669,MEDQUIMICA,CTH GASTROGEL DE BOLSO 10ML COM 60 - COD274363,,1.870,935,24/4,2519B ,7X0,,,
2671,MEDQUIMICA,CTH GASTROGEL DE BOLSO COM 12 COD 282140,,9.240,2.310,24/4,2533B - COM BRAILLE - FACA NOVA,6X0,,,
2651,MEDQUIMICA,CTH GRIPNEW COM 150 COD. 277757,Automatico,11.000,2.750,27/4,2530B - COM BRAILE ,6X0,,,
2654,MEDQUIMICA,CTH CLORIDRATO DE TETRACICLINA 500MG C/80 - COD 277428,Automatico,18.480,9.240,27/4,2531B - COM BRAILE,5X0,,,
2323,ZEISS,ME10072 - CARTUCHO ZEISS SF 76X7624 ARW 00031,OK / Automatico (INTERDITADO),52.500,3.281,28/11,2239B - COM RELEVO,,,,
2254,ZEISS,CARTUCHO ME10072 - CARTUCHO ZEISS SF 76X76X24 AEW 00031,OK / Automatico (INTERDITADO),210.000,13.125,22/12,2239B - COM RELEVO,,,,
2398,ESAB,CAIXA DE PAPELÃO P/ 5KG DE ELETRODO SERRALHEIRO CÓD 1000841,Automatico / RESTANTE,55.000,18.333,2/2,2367B,2X0,,,
2535,ESAB,CAIXE ELETRODO OK COD 1001540,Automatico / RESTANTE,13.200,6.600,15/3,2395B,2X0,,,
,,,,,,,,,,,
,,,,695.290,,,,,,,
,,,,HEILDELBERG DIANA ,,,,,,,
Os:,CLIENTE:,SERVIÇO:, ,QTDE CARTUCHOS,FOLHAS,DATA DE ENTREGA,FACA,Cores,,,
2668,CAFÉ 3 CORAÇÕES,CAIXA CAPP CAFÉ IT 3C MULTISABOR 50X20G - 2004525,Lateral/ 60.000,165.000,82.500,10/4,2430B,6X0,,,
2673,FARMATIVA,CARTUCHO LOLA KIT GHEE FEIRINHA CART ED0 82024 (COD LOLA 10201000082),OK / Automatico,220.000,27.500,15/4,2534B - FACA NOVA,5X0,,,
